/* DATA DESCRIPTION:
Citation:	Hennekam, Rick; Van der Bolt, Bregje; Van Nes, Egbert H; de Lange, Gert J; Scheffer, Marten; Reichart, Gert-Jan (2020): Calibrated XRF-scanning data (mm resolution) for elements Al, Ba, Mo, Ti, and U in Mediterranean core 64PE406-E1. PANGAEA, https://doi.org/10.1594/PANGAEA.923191, 
	In: Hennekam, R et al. (2020): Calibrated XRF-scanning data (mm resolution) and calibration data (ICP-OES and ICP-MS) for elements Al, Ba, Mo, Ti, and U in Mediterranean cores MS21, MS66, and 64PE406E1. PANGAEA, https://doi.org/10.1594/PANGAEA.923197
Keyword(s):	geochemistry; Mediterranean Sea; sapropels; trace elements; XRF-scanning
Project(s):	Geochemical scanning of climate change analogues to assess future hypoxia in restricted basins (SCANALOGUE) (URI: https://www.nioz.nl/en/research/projects/4267-0)
Coverage:	LATITUDE: 33.301670 * LONGITUDE: 33.395000
	MINIMUM DEPTH, sediment/rock: 0.011 m * MAXIMUM DEPTH, sediment/rock: 7.736 m
Event(s):	64PE406-E1 * LATITUDE: 33.301670 * LONGITUDE: 33.395000 * ELEVATION: -1760.0 m * CAMPAIGN: 64PE406 (NESSC EAST MED) (URI: http://melia.nioz.nl/phptoweb/core/melia-core.php?script=viewcruise.inc&crid=64PE406) * BASIS: Pelagia (URI: https://www.nioz.nl/en/facilities/research-vessels/RV-pelagia) * METHOD/DEVICE: Piston corer (PC)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	Aluminium [mg/kg] (Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Barium [mg/kg] (Ba) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Molybdenum [mg/kg] (Mo) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Titanium [mg/kg] (Ti) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Uranium [mg/kg] (U) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	38360 data points
*/
Age [ka BP]	Depth [m]	Al [mg/kg]	Ba [mg/kg]	Mo [mg/kg]	Ti [mg/kg]	U [mg/kg]
13.169	0.090	51438.764	186.438	2.471	4763.799	2.538
13.208	0.091	55094.071	216.832	1.842	5126.605	1.331
13.248	0.092	55078.251	262.413	2.872	4837.550	2.155
13.288	0.093	55946.610	255.388	3.501	4782.170	3.667
13.328	0.094	55362.451	206.549	2.753	4852.318	1.083
13.368	0.095	54740.156	250.469	2.087	4913.797	1.751
13.408	0.096	53248.451	218.638	2.181	5175.110	1.775
13.447	0.097	54016.463	244.853	1.696	5052.793	1.575
13.487	0.098	54817.811	225.288	2.703	5174.973	2.588
13.527	0.099	54582.529	176.504	1.398	5118.012	0.795
13.567	0.100	54699.943	209.591	2.739	5063.025	1.698
13.607	0.101	55116.420	253.897	2.043	4824.191	1.619
13.647	0.102	55477.788	225.748	2.010	4904.172	2.913
13.686	0.103	55713.109	258.524	2.703	5123.236	2.030
13.726	0.104	55839.803	234.655	1.783	4890.978	1.859
13.766	0.105	55128.144	197.440	1.317	5345.576	0.913
13.806	0.106	55278.095	273.138	2.453	5476.229	2.342
13.846	0.107	57221.490	222.904	3.940	5239.785	2.251
13.886	0.108	57239.148	272.914	3.577	5167.267	4.432
13.925	0.109	57000.101	227.256	1.810	5176.582	1.723
13.965	0.110	59727.687	289.772	1.341	5231.675	0.879
14.005	0.111	57525.892	222.097	2.538	5355.430	1.442
14.045	0.112	58329.775	240.262	2.466	5108.736	3.659
14.085	0.113	57025.356	299.534	2.722	5206.472	2.676
14.125	0.114	59441.384	193.612	2.548	5335.541	1.723
14.164	0.115	58016.329	206.635	1.477	5011.622	1.939
14.204	0.116	58543.172	227.891	1.592	5057.777	1.388
14.244	0.117	57950.752	210.864	1.400	5166.870	2.183
14.284	0.118	59362.227	302.502	1.777	4997.859	1.429
14.324	0.119	59408.487	251.436	1.896	5224.154	1.766
14.364	0.120	58200.525	228.141	2.363	5384.383	2.732
14.403	0.121	58107.457	236.517	1.470	5159.117	1.305
14.443	0.122	60105.949	254.607	1.974	5655.237	2.154
14.483	0.123	58850.375	250.757	2.331	5502.378	2.611
14.523	0.124	57548.303	220.202	1.559	5562.669	1.082
14.563	0.125	56723.643	204.648	1.949	5315.381	0.869
14.602	0.126	58853.966	276.241	4.197	5426.654	2.165
14.642	0.127	60358.029	275.895	2.614	6186.532	0.901
14.682	0.128	59751.264	237.117	2.187	5430.331	1.602
14.722	0.129	60592.233	205.051	2.620	5649.199	2.061
14.762	0.130	59965.265	301.980	2.698	5463.949	1.502
14.802	0.131	61963.112	285.551	4.031	5339.548	3.636
14.841	0.132	62608.589	272.864	3.115	5814.107	1.406
14.881	0.133	63818.923	190.523	1.943	5585.632	1.646
14.921	0.134	63348.533	250.624	3.145	5643.583	2.291
14.961	0.135	62210.421	297.973	4.077	5478.144	2.831
15.001	0.136	65100.058	326.159	2.675	5629.130	1.622
15.041	0.137	64280.561	260.063	3.060	5391.736	2.984
15.080	0.138	64796.949	334.245	2.874	5741.211	2.383
15.120	0.139	64218.745	332.832	2.502	5737.732	1.713
15.160	0.140	63835.341	284.133	3.875	5763.620	4.256
15.200	0.141	62147.889	253.695	3.386	5651.922	1.727
15.240	0.142	63794.843	280.026	2.963	5594.586	2.458
15.280	0.143	63688.758	251.505	5.964	6065.384	2.803
15.319	0.144	63854.991	258.886	2.194	5926.161	2.276
15.359	0.145	61110.549	215.348	1.622	5997.070	1.547
15.399	0.146	61249.831	223.815	2.209	5689.183	1.830
15.439	0.147	59070.231	240.993	2.116	5617.103	2.528
15.479	0.148	59529.738	261.246	2.147	5578.343	1.696
15.519	0.149	58936.203	226.656	1.673	5424.230	1.413
15.558	0.150	59333.368	214.729	2.250	5231.287	3.142
15.598	0.151	58002.078	227.203	1.221	5268.643	0.923
15.638	0.152	58717.293	218.204	1.800	5700.868	1.179
15.678	0.153	57989.415	235.663	2.378	5468.645	2.247
15.718	0.154	59432.196	283.330	3.311	5459.500	1.623
15.758	0.155	58906.767	233.997	1.758	5536.691	2.016
15.797	0.156	59967.393	278.139	2.208	5511.489	1.618
15.837	0.157	58649.897	228.518	1.589	5332.123	1.164
15.877	0.158	60440.108	224.927	2.277	5377.709	2.774
15.917	0.159	60240.759	209.164	1.924	5536.413	2.175
15.957	0.160	60579.353	214.591	2.697	5544.445	2.961
15.997	0.161	59081.564	201.710	1.501	5287.717	2.505
16.036	0.162	59222.592	203.108	3.136	5305.932	3.200
16.076	0.163	58604.719	208.645	2.002	5261.363	2.856
16.116	0.164	59826.779	254.693	2.065	5194.186	2.426
16.156	0.165	60730.637	237.495	2.415	5290.596	2.603
16.196	0.166	62671.319	228.661	1.797	5338.184	1.506
16.236	0.167	61724.365	208.495	2.960	5478.689	1.213
16.275	0.168	61646.094	294.073	4.327	5493.002	2.067
16.315	0.169	62933.570	286.127	2.000	5379.451	2.222
16.355	0.170	60829.727	232.404	1.744	5111.738	2.436
16.395	0.171	60703.526	173.374	1.597	5297.050	1.544
16.435	0.172	60044.173	194.375	0.885	5436.024	1.191
16.475	0.173	61454.044	238.843	2.010	5455.362	1.835
16.514	0.174	61871.661	207.272	3.781	5490.400	1.582
16.554	0.175	60113.409	268.807	2.173	5030.919	1.898
16.594	0.176	60907.280	258.687	2.742	5029.831	1.702
16.634	0.177	59371.732	283.515	1.238	5259.835	2.861
16.674	0.178	59727.134	237.553	1.191	5152.980	1.625
16.713	0.179	59901.230	237.260	1.818	5007.923	1.417
16.753	0.180	58272.748	270.614	2.642	4885.054	3.079
16.952	0.185	62296.019	193.460	2.286	4855.050	2.012
16.992	0.186	62138.737	209.692	1.661	5071.002	2.663
17.032	0.187	61997.166	280.082	2.442	5116.213	2.203
17.072	0.188	59351.775	237.715	1.542	4980.817	2.282
17.112	0.189	62007.015	211.656	1.603	5276.349	2.856
17.152	0.190	63692.931	218.933	2.133	5271.230	2.586
17.191	0.191	61236.153	215.533	1.402	5316.431	2.493
17.231	0.192	62730.660	245.181	2.073	5550.949	1.647
17.271	0.193	62235.292	224.953	2.809	5526.516	2.050
17.311	0.194	61555.933	271.829	2.140	5567.453	2.203
17.351	0.195	61423.048	248.742	2.281	5114.466	2.086
17.391	0.196	59787.266	244.236	3.189	5089.286	2.377
17.430	0.197	61161.338	234.703	3.068	5478.778	2.413
17.470	0.198	59221.661	213.401	2.035	4826.243	3.897
17.510	0.199	61809.159	319.093	1.868	5229.724	5.146
17.550	0.200	58647.973	196.962	1.852	5194.485	1.154
17.590	0.201	59486.256	207.477	2.220	5167.906	1.270
17.630	0.202	59418.787	218.703	2.569	5589.380	1.629
17.669	0.203	60608.468	258.202	2.164	5395.474	3.293
17.709	0.204	60987.564	229.167	2.889	5347.217	2.283
17.749	0.205	61328.581	270.720	1.414	5082.496	2.300
17.789	0.206	60395.068	196.385	2.673	5191.611	3.760
17.829	0.207	59826.727	199.529	2.302	5116.050	2.089
17.869	0.208	61573.713	207.473	1.545	4892.319	2.548
17.908	0.209	61516.962	206.567	2.030	5096.590	3.337
17.948	0.210	59858.616	216.071	1.343	4886.625	2.077
17.988	0.211	61053.902	178.452	1.468	5230.759	2.034
18.028	0.212	61505.051	221.759	3.249	5474.102	1.503
18.068	0.213	60312.877	206.058	3.673	5307.344	3.189
18.108	0.214	60703.788	225.511	4.362	5384.314	2.657
18.147	0.215	61030.955	187.550	1.864	5112.658	3.348
18.187	0.216	59962.654	222.701	2.438	5120.399	1.576
18.227	0.217	59914.639	208.332	3.733	5058.652	2.431
18.267	0.218	60668.388	256.527	1.844	5032.182	2.589
18.307	0.219	61006.832	228.877	2.605	5238.847	3.491
18.347	0.220	60923.907	180.145	1.788	5556.794	1.236
18.386	0.221	61463.303	230.662	2.733	5131.371	3.264
18.426	0.222	60123.404	241.315	3.509	5270.085	1.934
18.466	0.223	61292.432	183.920	2.519	5327.138	2.398
18.506	0.224	59491.610	228.078	1.011	5019.375	1.851
18.546	0.225	58060.435	183.226	1.523	4990.997	1.730
18.585	0.226	60390.951	254.201	2.082	5183.709	2.062
18.625	0.227	58328.984	139.525	0.947	5496.775	0.704
18.665	0.228	59490.387	290.419	1.355	4963.701	2.251
18.705	0.229	57073.206	197.016	2.466	4988.334	1.756
18.745	0.230	57081.539	171.192	1.148	4808.726	1.915
18.785	0.231	58355.267	206.834	2.473	4862.880	1.975
18.824	0.232	59657.781	191.739	4.784	5093.011	2.579
18.864	0.233	58706.431	199.568	2.549	4914.691	2.070
18.904	0.234	58950.829	169.253	1.668	5035.956	1.411
18.944	0.235	58441.092	222.915	2.218	4955.112	2.238
18.984	0.236	59221.558	200.529	2.816	4855.315	1.925
19.024	0.237	58697.817	211.182	4.323	4811.166	4.278
19.063	0.238	59429.433	188.436	1.627	5006.308	1.949
19.103	0.239	56701.955	178.484	2.441	4773.580	1.608
19.143	0.240	56029.502	170.320	2.731	4744.883	1.284
19.183	0.241	59369.303	144.521	1.786	5233.996	1.700
19.223	0.242	58670.218	248.844	2.561	4874.253	2.937
19.263	0.243	57997.058	156.162	3.024	5210.994	1.618
19.302	0.244	56821.858	161.829	1.969	5286.951	1.296
19.342	0.245	57563.631	147.246	1.719	5048.916	1.589
19.382	0.246	57411.960	191.622	2.532	5100.738	2.657
19.422	0.247	59763.190	193.643	2.324	5067.582	2.763
19.462	0.248	58185.682	215.433	3.127	5171.310	1.356
19.502	0.249	59191.647	246.364	2.609	4962.944	2.842
19.541	0.250	58138.867	212.443	1.449	4849.906	2.301
19.581	0.251	58850.388	238.654	2.921	5030.204	2.490
19.621	0.252	60081.713	206.777	2.722	4984.882	1.892
19.661	0.253	59505.289	220.872	2.608	5367.675	2.000
19.701	0.254	60464.404	212.538	1.908	5035.266	2.904
19.741	0.255	60271.899	273.853	3.610	4919.353	4.094
19.780	0.256	59398.321	186.694	3.012	5033.859	2.574
19.820	0.257	58747.446	180.245	1.832	5160.085	2.135
19.860	0.258	58016.885	186.136	1.390	4825.771	2.344
19.900	0.259	58647.926	197.046	1.583	5174.706	1.556
19.940	0.260	59450.651	196.446	1.986	5234.764	2.218
19.980	0.261	58258.907	195.195	2.837	5241.723	2.103
20.019	0.262	59346.684	224.373	3.090	5213.900	2.247
20.059	0.263	60267.328	196.841	2.722	5081.216	2.288
20.099	0.264	59807.759	219.754	3.257	5065.499	2.074
20.139	0.265	61629.992	250.695	3.815	5055.843	4.814
20.179	0.266	59509.661	202.481	1.701	4991.983	2.132
20.219	0.267	57286.792	168.924	2.094	4995.984	2.080
20.258	0.268	58106.059	157.887	1.893	5065.655	0.695
20.298	0.269	61016.087	222.013	2.642	5347.006	4.257
20.338	0.270	60013.457	193.983	2.193	5194.204	2.353
20.378	0.271	58275.728	246.591	1.766	5034.367	2.399
20.418	0.272	59303.654	201.020	1.719	5120.746	2.493
20.458	0.273	57705.205	212.415	1.764	4865.109	1.200
20.497	0.274	58290.068	229.548	1.618	5021.602	1.864
20.537	0.275	58464.722	170.471	1.477	5232.409	1.428
20.577	0.276	59021.798	175.136	1.976	5134.874	1.553
20.617	0.277	57721.881	123.902	2.816	5243.081	1.287
20.657	0.278	57000.112	184.500	1.351	4793.444	1.151
20.696	0.279	56157.292	163.350	2.268	4915.738	1.360
20.736	0.280	57694.687	188.395	2.186	5006.795	2.059
20.776	0.281	58956.182	182.026	2.054	5117.560	2.279
20.816	0.282	57822.539	202.244	2.885	4947.287	2.639
20.856	0.283	56491.771	188.178	2.338	5089.201	1.281
20.896	0.284	56804.693	171.743	2.119	4988.356	1.765
20.935	0.285	56649.949	195.935	2.251	4989.885	2.439
20.975	0.286	56042.083	207.756	2.442	4988.773	1.374
21.015	0.287	56301.191	189.527	1.659	4837.487	1.091
21.055	0.288	56806.682	192.894	3.295	4998.743	1.260
21.095	0.289	57820.686	215.866	2.153	5034.713	2.134
21.135	0.290	58499.100	195.364	1.710	5279.857	1.866
21.174	0.291	57055.427	227.002	3.570	5012.486	3.649
21.214	0.292	57924.525	225.575	2.522	5141.312	2.129
21.254	0.293	58549.786	181.266	2.731	5234.997	1.866
21.294	0.294	57387.705	171.484	1.932	5167.995	2.028
21.334	0.295	58616.233	167.927	1.980	5094.709	2.071
21.374	0.296	53919.215	178.041	1.822	4870.103	1.024
21.413	0.297	54359.576	155.125	2.176	5000.111	1.231
21.453	0.298	55880.734	265.769	1.334	4709.626	2.626
21.493	0.299	55920.729	169.871	2.756	5118.496	0.936
21.533	0.300	53734.863	166.271	3.181	4990.815	1.499
21.573	0.301	55334.718	175.703	1.904	4836.445	2.031
21.613	0.302	54660.923	150.700	1.137	4760.097	0.885
21.652	0.303	55517.356	233.927	4.781	4822.265	2.990
21.692	0.304	54815.384	197.336	2.512	4757.042	1.012
21.732	0.305	52633.063	175.342	1.780	4759.001	1.245
21.772	0.306	52256.757	206.475	1.478	4469.944	1.477
21.812	0.307	51409.252	152.121	3.457	4539.431	1.637
21.852	0.308	50339.739	197.039	1.994	4506.001	1.405
21.891	0.309	52672.935	180.486	2.512	4682.895	1.354
21.931	0.310	50354.754	108.086	1.685	4786.485	0.696
21.971	0.311	51158.446	190.677	2.380	4540.872	1.533
22.011	0.312	54387.032	191.178	2.555	4671.103	2.186
22.051	0.313	55699.200	161.164	2.357	4678.667	1.353
22.091	0.314	52964.389	168.687	1.550	4711.189	1.753
22.130	0.315	54768.259	220.495	2.377	4827.873	1.482
22.170	0.316	53628.684	175.747	2.267	4795.918	1.692
22.210	0.317	53088.520	215.672	2.709	4941.136	2.826
22.250	0.318	54411.452	170.645	1.394	4579.733	1.040
22.290	0.319	54024.598	202.016	3.311	4931.021	1.942
22.330	0.320	56266.319	200.533	2.724	4924.554	2.321
22.369	0.321	55485.842	173.498	2.676	4846.109	2.229
22.409	0.322	54958.519	176.548	2.344	4654.972	1.337
22.449	0.323	56523.851	216.783	2.510	4727.516	3.075
22.489	0.324	55642.415	209.100	2.114	4779.245	1.202
22.529	0.325	54990.410	210.525	2.590	4760.525	1.843
22.568	0.326	55914.128	227.058	2.805	4792.976	2.972
22.608	0.327	56044.779	189.791	1.286	4826.525	1.902
22.648	0.328	55596.165	205.527	1.615	4558.405	2.449
22.688	0.329	55887.119	276.375	2.578	4562.011	1.241
22.728	0.330	56913.339	251.414	1.468	4646.680	2.394
22.768	0.331	54759.037	244.089	2.814	4423.444	1.513
22.807	0.332	55634.826	320.446	1.580	4500.544	1.611
22.847	0.333	54697.067	305.789	1.725	4604.556	2.274
22.887	0.334	54902.228	248.209	1.154	4678.797	2.091
22.927	0.335	55099.396	224.403	1.697	4587.284	3.768
22.967	0.336	56227.475	197.642	1.295	4897.361	1.758
23.007	0.337	56316.776	249.660	2.020	4780.793	0.907
23.046	0.338	54929.108	201.651	0.883	4632.838	2.131
23.086	0.339	57077.771	238.218	1.458	4676.021	2.195
23.126	0.340	55684.866	196.167	2.452	4749.899	1.372
23.166	0.341	54732.475	183.254	1.932	4631.098	2.152
23.206	0.342	52797.911	184.972	1.903	4404.086	1.647
23.246	0.343	57723.588	228.952	2.797	4650.734	2.714
23.285	0.344	53788.865	183.560	1.061	4639.823	1.689
23.325	0.345	53264.795	238.223	2.886	4552.465	2.083
23.365	0.346	52969.145	192.993	1.147	4402.326	1.321
23.405	0.347	52337.561	158.801	1.765	4546.534	1.611
23.445	0.348	51940.572	157.414	2.106	4706.969	1.854
23.485	0.349	53280.591	160.772	1.931	4667.826	0.879
23.524	0.350	54131.236	178.122	1.166	4494.016	0.675
23.564	0.351	53906.607	208.102	1.485	4359.695	1.029
23.604	0.352	54188.217	133.710	2.314	4409.755	1.962
23.644	0.353	54101.723	183.456	1.288	4490.708	1.285
23.684	0.354	54261.447	134.243	1.529	5000.195	1.089
23.724	0.355	55914.418	151.293	1.635	4847.014	2.612
23.763	0.356	55757.647	192.462	1.716	4800.308	2.538
23.803	0.357	56044.674	192.527	1.824	4624.667	2.675
23.843	0.358	57619.319	220.888	2.134	4640.784	2.588
23.883	0.359	56495.151	240.283	4.601	4902.813	3.407
23.923	0.360	55443.072	249.071	5.391	4960.747	2.084
23.963	0.361	54025.243	173.656	2.774	4605.810	2.345
24.002	0.362	54991.070	239.672	1.822	4792.982	1.723
24.042	0.363	55154.529	207.155	2.128	4773.472	2.646
24.082	0.364	54384.724	182.009	3.809	5039.556	2.376
24.122	0.365	55271.238	192.004	3.776	4898.364	2.781
24.162	0.366	55894.679	214.258	2.323	4794.644	1.550
24.202	0.367	54201.206	211.096	2.116	4662.513	0.918
24.241	0.368	55167.975	232.146	1.552	4428.805	1.976
24.281	0.369	53566.789	273.871	3.242	4746.957	1.698
24.321	0.370	54519.345	371.190	7.805	5017.978	2.818
24.361	0.371	52272.465	244.679	2.176	4581.552	1.708
24.401	0.372	53563.007	258.592	1.060	4434.768	2.172
24.441	0.373	56019.660	209.411	1.293	4798.432	1.950
24.480	0.374	56087.160	203.992	1.482	5034.222	2.035
24.520	0.375	56792.424	179.814	1.843	5160.716	2.080
24.560	0.376	56525.137	217.443	2.611	4833.922	1.620
24.600	0.377	57277.394	163.904	1.850	4928.637	1.955
24.640	0.378	56870.452	213.847	1.193	4790.637	2.325
24.679	0.379	56193.168	182.510	2.092	5192.327	2.576
24.719	0.380	58540.291	210.520	2.393	5202.021	2.381
24.759	0.381	59223.431	252.776	1.983	5178.980	1.071
24.799	0.382	58560.337	194.179	1.574	4902.406	0.843
24.839	0.383	60057.891	194.577	1.470	5017.828	1.080
24.879	0.384	60958.554	227.612	2.956	5639.099	3.941
