/* DATA DESCRIPTION:
Citation:	Hennekam, Rick; Van der Bolt, Bregje; Van Nes, Egbert H; de Lange, Gert J; Scheffer, Marten; Reichart, Gert-Jan (2020): Calibrated XRF-scanning data (mm resolution) for elements Al, Ba, Mo, Ti, and U in Mediterranean core MS21PC. PANGAEA, https://doi.org/10.1594/PANGAEA.923192, 
	In: Hennekam, R et al. (2020): Calibrated XRF-scanning data (mm resolution) and calibration data (ICP-OES and ICP-MS) for elements Al, Ba, Mo, Ti, and U in Mediterranean cores MS21, MS66, and 64PE406E1. PANGAEA, https://doi.org/10.1594/PANGAEA.923197
Keyword(s):	geochemistry; Mediterranean Sea; sapropels; trace elements; XRF-scanning
Project(s):	Geochemical scanning of climate change analogues to assess future hypoxia in restricted basins (SCANALOGUE) (URI: https://www.nioz.nl/en/research/projects/4267-0)
Coverage:	LATITUDE: 32.344970 * LONGITUDE: 31.650080
	DATE/TIME START: 2004-06-29T07:59:57 * DATE/TIME END: 2004-06-29T07:59:57
	MINIMUM DEPTH, sediment/rock: 0.011 m * MAXIMUM DEPTH, sediment/rock: 7.516 m
Event(s):	MS21PC (MIMES_43) * LATITUDE: 32.344970 * LONGITUDE: 31.650080 * DATE/TIME: 2004-06-29T07:59:57 * ELEVATION: -1022.0 m * LOCATION: Osiris & Amon Mud Volcano * CAMPAIGN: MIMES * BASIS: Pelagia (URI: https://www.nioz.nl/en/facilities/research-vessels/RV-pelagia) * METHOD/DEVICE: Piston corer (PC) * COMMENT: MS21PC Bottom
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	Aluminium [mg/kg] (Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Barium [mg/kg] (Ba) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Molybdenum [mg/kg] (Mo) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Titanium [mg/kg] (Ti) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Uranium [mg/kg] (U) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	37300 data points
*/
Age [ka BP]	Depth [m]	Al [mg/kg]	Ba [mg/kg]	Mo [mg/kg]	Ti [mg/kg]	U [mg/kg]
1.418	0.060	57426.652	181.760	2.505	4709.256	1.538
1.436	0.061	56346.903	211.177	1.901	4679.998	1.881
1.454	0.062	54741.260	146.118	3.600	4617.821	3.516
1.471	0.063	56957.638	189.727	4.457	4655.563	1.378
1.489	0.064	58463.440	131.091	2.889	4804.156	3.222
1.506	0.065	52730.957	147.950	3.461	4358.920	1.667
1.524	0.066	52161.311	276.800	7.917	4214.583	4.099
1.542	0.067	47011.407	142.985	6.381	3977.838	1.986
1.559	0.068	49683.146	151.766	3.981	4061.255	2.707
1.576	0.069	47911.647	107.876	4.673	3896.295	2.230
1.594	0.070	50642.706	179.777	5.328	3886.790	1.975
1.611	0.071	50650.187	102.340	2.113	4225.123	1.964
1.628	0.072	53475.538	106.494	3.206	4252.453	2.391
1.646	0.073	47775.397	117.484	3.837	3870.931	2.486
1.663	0.074	47571.024	145.915	1.892	3658.786	1.849
1.681	0.075	47725.501	163.378	4.059	3792.199	2.470
1.698	0.076	48030.414	131.330	4.097	3898.989	3.041
1.715	0.077	48255.513	137.324	5.025	3901.604	0.977
1.733	0.078	47015.712	188.997	5.712	3579.567	3.997
1.751	0.079	45798.876	84.115	3.334	3855.786	2.416
1.768	0.080	48698.164	128.066	5.411	3729.333	1.642
1.786	0.081	44435.392	78.850	4.148	3628.074	1.547
1.803	0.082	46170.634	173.732	3.326	3518.528	2.416
1.821	0.083	44929.507	113.034	4.952	3596.123	2.124
1.838	0.084	47775.480	129.620	6.275	3674.313	3.593
1.856	0.085	44655.785	137.073	3.097	3572.440	2.279
1.874	0.086	46795.142	159.923	3.738	3531.652	1.613
1.891	0.087	49524.597	132.805	5.471	3714.344	3.661
1.909	0.088	47946.098	155.355	6.235	3600.558	1.770
1.926	0.089	45905.061	112.860	5.675	3497.542	2.065
1.944	0.090	48124.622	116.026	4.694	3511.178	3.056
1.961	0.091	47069.337	129.632	2.403	3454.548	2.095
1.979	0.092	47792.712	135.571	4.895	3612.241	2.187
1.996	0.093	48299.016	183.877	4.122	3688.547	2.615
2.014	0.094	47257.651	127.371	3.443	3634.977	3.308
2.032	0.095	48251.137	170.271	6.175	3559.078	5.766
2.049	0.096	47400.133	198.284	3.549	3471.062	2.436
2.067	0.097	45153.868	149.050	6.804	3564.404	2.767
2.085	0.098	48185.431	147.089	4.704	3734.862	3.321
2.103	0.099	46081.142	116.962	4.218	3738.674	1.720
2.121	0.100	46957.875	148.348	7.014	3696.675	2.612
2.139	0.101	48561.657	147.898	4.752	3706.513	2.514
2.157	0.102	45014.092	130.137	3.881	3617.114	1.891
2.175	0.103	46108.779	110.666	4.487	3618.986	1.903
2.194	0.104	45401.409	143.115	4.120	3417.613	1.970
2.212	0.105	46750.314	152.919	3.110	3509.346	1.534
2.231	0.106	45205.574	163.711	3.535	3357.672	1.036
2.249	0.107	44896.981	142.241	2.124	3458.166	1.772
2.268	0.108	44968.704	108.080	5.000	3632.697	4.041
2.286	0.109	46915.924	179.506	4.689	3606.804	2.778
2.305	0.110	43225.455	129.658	4.159	3552.785	2.166
2.324	0.111	43874.824	154.077	6.324	3469.211	2.285
2.342	0.112	46410.377	198.958	5.803	3421.723	2.787
2.361	0.113	43564.956	139.213	6.445	3354.247	3.037
2.380	0.114	43599.647	154.218	4.979	3437.127	2.277
2.399	0.115	46309.924	178.152	3.616	3439.894	3.952
2.417	0.116	45203.779	156.714	3.102	3412.541	2.857
2.436	0.117	46548.149	145.772	4.677	3453.823	2.357
2.455	0.118	45869.127	128.300	3.818	3575.512	2.745
2.474	0.119	46728.812	140.851	4.124	3521.318	2.128
2.492	0.120	45526.410	110.819	3.491	3603.338	1.036
2.511	0.121	44858.590	143.817	3.104	3478.104	2.867
2.530	0.122	45603.851	126.434	2.238	3470.450	2.242
2.548	0.123	44746.035	126.982	2.228	3413.106	1.354
2.567	0.124	44641.785	128.636	3.495	3384.529	1.931
2.586	0.125	46662.514	131.104	3.541	3503.409	1.573
2.605	0.126	47751.321	165.553	4.086	3461.204	3.595
2.624	0.127	46572.790	135.265	3.899	3531.227	2.227
2.642	0.128	46129.050	138.363	1.841	3462.341	2.104
2.661	0.129	45391.107	158.694	2.229	3486.466	1.072
2.679	0.130	47246.431	139.720	3.175	3484.094	2.962
2.698	0.131	45686.267	88.382	3.150	3578.625	1.834
2.717	0.132	44874.629	118.644	3.277	3386.935	2.372
2.735	0.133	48028.848	109.527	2.645	3551.218	2.433
2.754	0.134	44377.524	128.772	2.421	3384.139	1.073
2.773	0.135	46930.919	105.253	3.090	3513.224	2.648
2.792	0.136	45889.646	178.726	2.761	3506.252	3.035
2.810	0.137	45449.841	124.288	2.143	3438.488	0.741
2.829	0.138	48502.760	102.156	2.367	3610.582	1.708
2.848	0.139	47128.643	147.741	2.829	3521.932	2.561
2.866	0.140	45864.467	135.554	3.745	3484.836	1.287
2.885	0.141	46853.458	109.701	2.142	3634.098	1.347
2.904	0.142	49151.277	129.524	1.797	3749.642	1.050
2.922	0.143	47408.775	123.120	2.052	3646.362	1.204
2.941	0.144	48576.715	108.119	1.644	3708.290	1.727
2.959	0.145	47198.330	125.726	2.222	3549.823	1.309
2.978	0.146	46899.758	106.240	2.989	3556.216	1.733
2.997	0.147	47170.426	169.512	2.010	3489.391	1.874
3.014	0.148	47643.724	132.984	2.281	3607.357	1.607
3.030	0.149	47507.510	111.362	2.056	3683.962	2.026
3.046	0.150	49906.031	108.227	2.271	3719.098	1.600
3.062	0.151	49727.428	101.463	3.056	3736.102	1.940
3.078	0.152	48071.459	135.553	2.592	3622.145	2.671
3.093	0.153	48923.301	117.689	2.837	3761.717	1.632
3.106	0.154	50748.990	127.344	2.027	3906.097	1.108
3.119	0.155	51638.221	141.298	2.704	3770.631	2.270
3.133	0.156	49148.200	126.020	2.120	3819.273	1.065
3.146	0.157	51519.706	103.727	2.832	3882.398	1.854
3.159	0.158	51070.079	151.423	3.901	3745.904	2.304
3.173	0.159	48418.104	117.136	3.061	3750.860	1.684
3.186	0.160	50392.150	161.286	2.661	3711.033	2.116
3.199	0.161	49551.217	114.596	2.412	3925.096	1.072
3.213	0.162	48254.884	115.582	3.511	3807.002	1.611
3.226	0.163	52074.199	155.000	2.443	3971.607	2.118
3.240	0.164	50744.722	123.211	2.541	4037.090	1.018
3.253	0.165	48645.391	143.470	2.308	3924.118	1.257
3.266	0.166	50912.676	105.632	2.483	4006.381	1.211
3.280	0.167	52602.730	192.892	2.063	4020.126	2.196
3.293	0.168	53214.276	156.239	4.638	3965.773	2.868
3.306	0.169	50966.340	126.877	2.595	3871.805	2.114
3.320	0.170	49718.901	133.776	2.525	3782.692	2.359
3.333	0.171	49103.793	90.591	3.293	3875.381	1.699
3.347	0.172	49604.067	120.551	2.578	3836.536	1.457
3.360	0.173	50820.815	112.070	2.549	3978.635	1.943
3.373	0.174	49237.158	99.312	2.525	4036.560	0.380
3.387	0.175	51542.364	126.807	3.603	4020.615	1.000
3.400	0.176	54134.610	101.552	3.150	4204.547	2.673
3.413	0.177	53052.353	161.354	3.387	3968.647	2.777
3.427	0.178	51864.535	94.781	4.267	4081.881	1.162
3.440	0.179	50991.636	105.043	3.190	4130.021	1.308
3.454	0.180	51023.984	111.334	3.656	4134.941	2.754
3.467	0.181	49578.799	144.826	3.741	3795.610	1.898
3.481	0.182	48999.231	116.730	5.495	4037.501	0.943
3.494	0.183	52423.490	123.176	3.987	4084.176	1.376
3.508	0.184	52324.681	146.256	2.779	3992.464	2.272
3.522	0.185	49154.843	113.492	2.299	3909.703	1.730
3.535	0.186	52506.929	190.822	2.061	3832.508	2.457
3.549	0.187	52670.324	153.108	2.526	4027.758	0.614
3.563	0.188	49738.568	145.887	2.404	3801.698	1.304
3.576	0.189	53087.443	91.609	2.908	4113.875	2.443
3.590	0.190	48811.447	116.637	3.214	3823.147	1.476
3.604	0.191	49215.586	153.470	2.350	3788.662	1.138
3.617	0.192	49410.965	138.234	2.565	3967.545	1.330
3.631	0.193	52489.415	149.110	2.978	4045.652	1.601
3.644	0.194	50175.336	96.391	2.259	3997.314	1.568
3.657	0.195	52867.268	163.785	2.478	4095.005	2.359
3.671	0.196	51374.954	126.450	2.299	3961.552	0.752
3.684	0.197	55618.249	129.954	3.469	4205.936	0.917
3.697	0.198	58016.045	162.092	4.328	4412.842	3.292
3.711	0.199	53780.413	171.388	3.823	4176.827	2.784
3.725	0.200	52572.577	125.432	3.535	4333.975	1.431
3.738	0.201	53782.857	125.741	3.684	4244.072	1.750
3.752	0.202	53725.841	190.512	3.672	4253.483	1.729
3.765	0.203	53118.672	113.563	3.025	4311.678	1.559
3.779	0.204	55531.686	204.875	4.270	4277.594	2.516
3.792	0.205	54455.335	137.267	2.981	4440.609	0.923
3.806	0.206	55080.734	120.087	2.519	4532.053	1.567
3.819	0.207	53675.537	99.503	3.165	4414.056	1.180
3.833	0.208	56588.782	135.717	3.815	4377.815	1.412
3.846	0.209	54719.969	189.088	3.765	4145.841	1.763
3.860	0.210	57783.255	138.680	2.819	4498.054	1.959
3.873	0.211	57118.673	213.761	3.755	4264.260	2.995
3.887	0.212	50842.861	153.107	3.490	4016.470	1.845
3.900	0.213	53560.214	179.069	3.872	4182.532	2.758
3.914	0.214	50702.786	118.402	1.971	4092.147	1.680
3.927	0.215	52902.823	149.111	2.266	4263.190	2.804
3.941	0.216	53557.748	164.074	3.492	4105.524	2.079
3.954	0.217	53083.471	186.180	3.970	4028.402	2.336
3.968	0.218	56084.198	145.669	4.086	4369.533	2.154
3.981	0.219	56539.127	136.784	5.079	4560.603	2.276
3.994	0.220	58656.863	134.070	3.650	4623.987	1.485
4.008	0.221	57173.556	170.014	2.056	4463.774	1.629
4.021	0.222	56184.852	137.969	3.645	4522.317	1.610
4.034	0.223	57922.605	165.906	3.962	4452.515	2.546
4.048	0.224	59131.908	188.810	4.356	4584.582	2.649
4.061	0.225	58611.158	166.037	4.493	4632.389	1.450
4.075	0.226	58162.448	203.353	5.319	4477.426	2.458
4.088	0.227	58917.996	186.830	3.290	4621.030	1.025
4.102	0.228	60061.178	165.194	3.489	4635.987	1.421
4.115	0.229	61150.387	167.717	3.689	4684.401	1.961
4.128	0.230	59177.189	180.898	3.479	4642.803	1.597
4.142	0.231	57863.908	164.403	3.590	4658.369	1.581
4.155	0.232	63314.868	180.513	5.421	4962.886	2.620
4.168	0.233	62892.809	218.023	5.274	4820.308	3.109
4.182	0.234	63998.115	181.992	5.671	4996.790	1.745
4.195	0.235	62238.242	156.412	4.233	4916.436	2.244
4.208	0.236	61659.640	171.539	3.277	5024.821	1.749
4.221	0.237	61341.777	168.465	4.327	4864.324	1.345
4.235	0.238	59007.817	171.535	3.108	4848.097	1.954
4.248	0.239	59684.124	173.114	3.814	4525.431	2.616
4.261	0.240	60422.184	177.947	3.914	4563.017	2.014
4.274	0.241	56929.068	137.274	2.986	4504.733	2.488
4.287	0.242	57574.207	133.195	2.496	4614.776	1.724
4.301	0.243	60007.939	183.647	3.537	4672.464	2.256
4.314	0.244	58438.201	158.284	2.359	4512.679	2.393
4.328	0.245	59210.668	143.321	2.754	4506.965	1.509
4.341	0.246	57506.185	139.950	3.382	4468.021	1.473
4.354	0.247	61156.710	158.009	2.404	4620.033	2.483
4.369	0.248	61091.808	159.809	1.882	4556.567	2.943
4.386	0.249	61866.586	123.243	3.338	4742.053	2.944
4.403	0.250	62236.612	99.859	3.452	4827.451	1.013
4.419	0.251	60974.184	110.699	3.699	4780.504	1.584
4.436	0.252	62462.062	150.011	2.361	4678.895	1.289
4.454	0.253	58925.561	162.419	1.752	4415.773	1.268
4.475	0.254	60541.024	132.205	2.521	4601.369	2.376
4.495	0.255	58999.306	128.364	3.627	4524.171	2.258
4.515	0.256	60003.944	167.977	3.060	4497.588	1.540
4.535	0.257	61194.017	154.861	3.233	4533.500	2.902
4.555	0.258	59170.656	157.643	2.145	4428.441	1.368
4.576	0.259	61350.457	147.618	1.933	4535.332	2.028
4.596	0.260	61682.740	172.690	3.373	4629.866	2.458
4.617	0.261	61841.722	148.485	4.031	4734.267	2.253
4.637	0.262	61754.953	171.473	3.599	4580.515	2.892
4.657	0.263	64410.056	173.797	3.789	4813.654	2.003
4.678	0.264	65817.469	132.207	3.353	4979.582	1.483
4.698	0.265	64532.828	187.844	2.748	4718.939	1.464
4.719	0.266	67724.964	167.816	2.927	4788.411	1.385
4.739	0.267	65536.863	122.366	2.475	5094.822	0.912
4.759	0.268	64165.793	157.883	2.762	4843.085	2.105
4.780	0.269	63300.234	95.954	3.621	4827.294	2.872
4.800	0.270	61848.076	147.380	1.915	4575.177	1.370
4.820	0.271	64123.521	114.948	3.986	4533.768	2.144
4.841	0.272	62970.344	174.575	3.648	4541.768	1.120
4.861	0.273	61398.563	241.239	2.858	4414.261	2.098
4.881	0.274	62918.698	169.651	5.510	4569.884	1.913
4.902	0.275	64530.241	209.250	4.333	4254.176	2.065
4.922	0.276	66016.218	208.225	3.547	4413.992	1.986
4.942	0.277	69175.965	166.750	3.839	4618.691	2.444
4.963	0.278	65477.760	155.123	3.290	4609.476	3.435
4.983	0.279	63797.380	144.412	3.092	4608.122	1.959
5.004	0.280	62697.231	158.005	2.769	4729.306	2.318
5.024	0.281	63621.214	226.841	2.960	4627.745	1.842
5.045	0.282	65289.605	143.960	3.501	4977.590	3.700
5.066	0.283	67444.665	211.648	3.095	4998.277	1.960
5.086	0.284	69628.322	162.374	3.324	4920.315	4.598
5.106	0.285	69067.073	212.499	2.309	4760.773	1.829
5.127	0.286	67679.519	226.914	5.320	4860.317	2.250
5.147	0.287	67500.799	188.301	3.519	5098.539	3.752
5.167	0.288	67148.984	179.858	2.504	5135.370	2.267
5.188	0.289	66693.545	200.934	4.099	5010.735	2.827
5.208	0.290	68007.484	159.889	3.006	5260.873	1.995
5.228	0.291	68874.642	258.054	5.157	4986.792	5.552
5.249	0.292	67952.476	213.494	4.988	5070.906	2.943
5.269	0.293	68835.844	233.001	3.765	5191.469	3.404
5.290	0.294	69322.761	196.736	4.848	4953.025	1.905
5.310	0.295	68951.718	200.833	3.113	5090.636	2.079
5.330	0.296	69989.008	180.585	3.082	5163.896	3.658
5.351	0.297	67733.948	162.023	3.287	5036.240	2.845
5.369	0.298	70364.085	229.822	2.616	4994.436	2.816
5.387	0.299	71316.811	191.838	4.467	5141.417	1.935
5.404	0.300	70500.788	187.945	3.298	5180.541	2.516
5.421	0.301	70166.712	208.998	3.514	5251.332	3.618
5.438	0.302	68871.244	198.745	4.370	5254.838	1.738
5.454	0.303	68760.056	270.711	3.865	5338.951	2.599
5.468	0.304	68574.700	212.683	1.830	5355.787	1.878
5.482	0.305	69782.140	208.480	3.795	5435.404	4.628
5.497	0.306	69102.648	212.668	3.309	5402.090	3.132
5.511	0.307	68918.368	216.777	4.352	5218.837	2.903
5.525	0.308	67852.465	236.424	3.759	5053.568	3.200
5.539	0.309	68682.599	171.354	3.082	5234.564	3.453
5.554	0.310	67227.871	241.872	5.092	5034.692	6.671
5.568	0.311	66550.959	229.277	2.931	4939.595	3.690
5.582	0.312	67694.405	228.741	5.408	5016.181	3.729
5.596	0.313	68768.536	231.140	3.108	5153.814	4.587
5.610	0.314	68299.333	222.432	3.405	5069.039	3.291
5.625	0.315	66900.719	188.107	3.884	5074.710	3.517
5.639	0.316	66227.417	190.724	4.085	5013.533	2.506
5.653	0.317	65741.687	174.309	3.962	4971.509	0.990
5.668	0.318	66534.741	233.087	3.514	4917.956	4.523
5.682	0.319	67144.063	276.707	4.925	4978.355	3.382
5.696	0.320	66500.931	276.378	4.488	4955.274	4.084
5.710	0.321	66092.479	298.147	4.205	4866.567	4.669
5.724	0.322	66493.689	259.768	3.812	4901.582	3.693
5.738	0.323	67445.586	253.150	5.038	4961.381	3.016
5.752	0.324	64227.197	286.937	6.279	4947.257	4.270
5.767	0.325	64626.557	232.022	3.399	4912.708	3.811
5.781	0.326	67160.841	286.658	5.862	5100.496	4.307
5.795	0.327	67337.682	377.950	4.959	4972.044	4.080
5.809	0.328	65283.204	316.864	4.986	4838.269	4.547
5.824	0.329	65258.576	276.862	3.873	4986.800	4.415
5.838	0.330	64792.009	317.440	4.255	4832.302	6.902
5.852	0.331	67232.963	337.256	3.434	4961.623	7.028
5.866	0.332	66640.984	293.378	3.211	4846.212	4.413
5.881	0.333	65785.622	220.646	3.847	4886.048	6.717
5.895	0.334	66611.604	200.701	4.957	4968.565	6.423
5.910	0.335	67042.608	275.964	3.978	4965.972	6.027
5.924	0.336	64164.143	204.836	4.596	4971.508	2.755
5.938	0.337	67592.136	285.535	4.503	5080.552	5.996
5.953	0.338	67357.264	259.760	7.045	5058.972	5.044
5.967	0.339	66121.315	343.516	7.392	4873.566	3.806
5.982	0.340	65530.210	318.048	4.902	4847.070	8.057
5.996	0.341	64950.349	230.876	4.098	5098.515	5.833
6.011	0.342	65823.500	259.327	5.117	5197.809	4.827
6.025	0.343	66443.274	307.739	4.343	5211.091	5.430
6.039	0.344	64848.297	258.731	4.266	5198.448	5.755
6.054	0.345	64352.707	186.891	4.875	5374.606	5.837
6.068	0.346	62735.730	212.419	7.718	5340.204	4.191
6.083	0.347	63898.648	325.448	4.915	5133.307	5.438
6.097	0.348	64536.351	377.198	7.765	5066.107	8.623
6.111	0.349	65009.053	329.244	5.436	5172.472	6.023
6.125	0.350	65116.669	249.807	2.967	5261.720	3.829
6.139	0.351	64917.569	244.476	5.707	5327.095	3.894
6.153	0.352	62803.036	294.392	5.623	4903.581	8.512
6.166	0.353	62189.581	272.054	4.502	4993.938	5.920
6.180	0.354	65674.958	280.468	6.318	5225.430	6.727
6.194	0.355	68065.082	290.185	5.767	5338.366	3.076
6.208	0.356	65710.698	271.321	4.179	5238.836	8.614
6.222	0.357	65655.683	372.974	5.583	5183.455	6.405
6.235	0.358	65624.578	322.929	5.305	5389.207	7.269
6.249	0.359	64893.042	377.168	7.556	5186.740	7.395
6.263	0.360	64833.681	230.667	5.335	5285.629	7.168
6.276	0.361	66124.665	339.786	4.851	5307.439	6.139
6.290	0.362	65410.838	293.753	4.351	5220.866	7.623
6.304	0.363	65104.656	362.308	3.791	5190.686	8.200
6.317	0.364	65941.009	363.590	2.443	5156.508	7.454
6.331	0.365	65969.286	434.229	3.947	5166.138	12.557
6.345	0.366	65978.265	349.648	4.627	5112.722	8.172
6.358	0.367	66973.828	352.630	2.137	5114.730	4.952
6.372	0.368	67799.370	368.358	4.664	5134.560	3.986
6.386	0.369	67007.327	412.529	4.479	5083.198	9.346
6.399	0.370	67608.953	390.927	3.856	5138.153	5.129
6.413	0.371	66355.694	371.952	3.501	5171.569	6.556
6.427	0.372	65110.371	414.259	4.490	5041.224	6.694
6.441	0.373	67218.843	368.754	5.764	5073.838	10.203
6.454	0.374	67144.640	371.108	5.976	4975.526	7.538
6.468	0.375	68072.514	353.812	3.566	5062.171	11.637
6.482	0.376	66842.276	335.335	3.957	5126.216	7.614
6.495	0.377	67315.146	322.843	5.661	5182.826	8.313
