/* DATA DESCRIPTION:
Citation:	Hennekam, Rick; Van der Bolt, Bregje; Van Nes, Egbert H; de Lange, Gert J; Scheffer, Marten; Reichart, Gert-Jan (2020): Calibrated XRF-scanning data (mm resolution) for elements Al, Ba, Mo, Ti, and U in Mediterranean core MS66PC. PANGAEA, https://doi.org/10.1594/PANGAEA.923193, 
	In: Hennekam, R et al. (2020): Calibrated XRF-scanning data (mm resolution) and calibration data (ICP-OES and ICP-MS) for elements Al, Ba, Mo, Ti, and U in Mediterranean cores MS21, MS66, and 64PE406E1. PANGAEA, https://doi.org/10.1594/PANGAEA.923197
Keyword(s):	geochemistry; Mediterranean Sea; sapropels; trace elements; XRF-scanning
Project(s):	Geochemical scanning of climate change analogues to assess future hypoxia in restricted basins (SCANALOGUE) (URI: https://www.nioz.nl/en/research/projects/4267-0)
Coverage:	LATITUDE: 33.031670 * LONGITUDE: 31.798730
	DATE/TIME START: 2004-07-11T12:12:52 * DATE/TIME END: 2004-07-11T12:12:52
	MINIMUM DEPTH, sediment/rock: 0.395 m * MAXIMUM DEPTH, sediment/rock: 6.305 m
Event(s):	MS66PC (MIMES_96) * LATITUDE: 33.031670 * LONGITUDE: 31.798730 * DATE/TIME: 2004-07-11T12:12:52 * ELEVATION: -1630.0 m * LOCATION: Nile Fan * CAMPAIGN: MIMES * BASIS: Pelagia (URI: https://www.nioz.nl/en/facilities/research-vessels/RV-pelagia) * METHOD/DEVICE: Piston corer (PC) * COMMENT: MS66PC Bottom
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	Aluminium [mg/kg] (Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Barium [mg/kg] (Ba) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Molybdenum [mg/kg] (Mo) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Titanium [mg/kg] (Ti) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
	Uranium [mg/kg] (U) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence (XRF)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	27445 data points
*/
Age [ka BP]	Depth [m]	Al [mg/kg]	Ba [mg/kg]	Mo [mg/kg]	Ti [mg/kg]	U [mg/kg]
7.996	0.444	59168.416	512.229	22.206	4494.450	6.408
8.005	0.445	59370.698	524.895	23.336	4636.659	12.624
8.014	0.446	57147.274	482.090	19.274	4426.329	10.154
8.023	0.447	58059.906	534.433	27.088	4548.043	13.732
8.032	0.448	56811.433	449.502	12.211	4481.658	5.374
8.041	0.449	59118.333	462.220	21.455	4700.750	9.726
8.051	0.450	58592.356	390.364	17.914	4612.795	8.269
8.060	0.451	57913.885	461.771	17.128	4532.776	10.701
8.069	0.452	58451.734	463.311	14.196	4436.244	10.299
8.078	0.453	53001.618	390.441	11.015	4078.241	7.291
8.087	0.454	55363.573	567.146	16.824	4150.398	5.675
8.096	0.455	57889.887	540.108	18.720	4486.698	6.517
8.105	0.456	60843.519	587.926	20.363	4654.521	8.543
8.114	0.457	59214.862	519.968	24.220	4635.760	7.592
8.123	0.458	57830.844	489.300	22.799	4473.546	8.465
8.132	0.459	55231.955	443.985	23.634	4379.394	9.856
8.141	0.460	60241.729	587.890	19.346	4561.730	9.471
8.150	0.461	60094.589	607.368	30.123	4394.844	16.636
8.159	0.462	60900.368	504.655	22.043	4596.378	6.877
8.168	0.463	60924.803	435.699	20.052	4762.012	9.860
8.178	0.464	60955.374	492.389	21.487	4775.605	13.115
8.187	0.465	58491.140	493.338	22.176	4566.774	5.361
8.196	0.466	62944.291	536.363	27.112	4721.205	12.727
8.205	0.467	60289.094	494.229	25.552	4644.002	8.905
8.214	0.468	61892.550	541.081	25.938	4727.773	8.269
8.223	0.469	60999.090	498.025	21.032	4629.805	7.356
8.232	0.470	58263.364	488.579	24.655	4614.873	12.656
8.241	0.471	57314.139	407.575	22.723	4527.131	7.091
8.250	0.472	55631.406	389.485	21.588	4334.091	11.877
8.259	0.473	56540.079	498.507	24.863	4328.174	3.847
8.268	0.474	59542.543	392.161	24.024	4655.444	7.125
8.277	0.475	61203.199	460.437	24.479	4569.885	9.469
8.286	0.476	61465.567	527.992	31.425	4489.769	7.725
8.295	0.477	57814.910	519.472	24.074	4293.228	9.794
8.305	0.478	58878.960	550.503	20.782	4211.890	5.696
8.314	0.479	58473.029	545.752	26.775	4357.859	10.293
8.323	0.480	56889.602	483.109	16.849	4256.143	11.771
8.332	0.481	58154.205	442.116	19.786	4624.639	8.086
8.341	0.482	61295.040	462.767	30.865	4489.725	9.270
8.350	0.483	58640.228	350.797	22.170	4640.436	6.332
8.359	0.484	59536.331	453.561	19.589	4524.516	4.709
8.368	0.485	59291.660	506.451	27.047	4456.133	6.726
8.377	0.486	59711.401	592.192	39.757	4456.289	8.181
8.386	0.487	59547.382	595.088	25.932	4415.015	11.502
8.395	0.488	58102.924	586.949	24.560	4337.195	6.537
8.404	0.489	59020.736	558.532	33.114	4488.432	8.444
8.413	0.490	59354.704	546.448	22.727	4421.175	12.545
8.422	0.491	57346.836	534.368	19.066	4435.790	10.263
8.432	0.492	55495.060	496.029	22.079	4233.121	5.035
8.441	0.493	58223.864	512.902	34.899	4248.610	8.298
8.450	0.494	59018.904	574.904	22.545	4196.480	14.261
8.459	0.495	59488.904	493.164	25.280	4404.195	14.381
8.468	0.496	62697.135	483.113	24.486	4664.639	10.445
8.477	0.497	60255.500	495.949	17.403	4457.050	6.839
8.486	0.498	60041.231	445.113	21.325	4707.876	10.972
8.495	0.499	60761.807	464.555	23.711	4475.139	6.321
8.504	0.500	59862.241	561.931	17.664	4389.006	9.459
8.513	0.501	56981.358	561.295	18.272	4162.524	9.981
8.522	0.502	56165.021	423.306	12.147	4243.719	10.214
8.531	0.503	57593.999	438.418	17.163	4292.700	13.991
8.540	0.504	57052.232	500.673	16.037	4272.840	9.429
8.549	0.505	59003.182	581.947	20.144	4315.579	7.432
8.559	0.506	56758.139	510.284	11.052	4199.824	5.998
8.568	0.507	58739.177	502.797	18.919	4442.867	8.725
8.577	0.508	56788.859	435.303	15.499	4287.267	10.219
8.586	0.509	59055.833	401.568	28.412	4422.283	9.515
8.595	0.510	60436.567	515.443	22.999	4389.972	8.340
8.604	0.511	60119.426	439.013	20.157	4356.875	11.766
8.613	0.512	59149.258	429.566	19.522	4410.917	5.371
8.622	0.513	59850.692	495.019	17.842	4491.907	3.075
8.631	0.514	58788.438	480.487	18.310	4274.692	7.092
8.640	0.515	57873.951	538.570	24.976	4147.140	6.539
8.649	0.516	58824.724	517.651	20.729	4342.557	7.082
8.658	0.517	57393.117	461.559	16.426	4257.603	5.595
8.667	0.518	55562.739	499.714	16.709	4088.871	10.400
8.676	0.519	57113.941	570.889	21.030	4306.096	6.880
8.686	0.520	58697.754	641.196	24.705	4245.364	8.972
8.695	0.521	59089.066	572.845	23.687	4332.265	7.456
8.704	0.522	60603.744	635.765	28.894	4387.736	11.071
8.713	0.523	57633.691	513.330	16.975	4297.522	5.520
8.722	0.524	52584.961	448.518	11.162	3943.135	5.941
8.731	0.525	53456.771	586.276	19.002	3972.246	4.994
8.740	0.526	56383.821	432.754	13.024	4278.250	7.303
8.749	0.527	58896.962	603.772	18.400	4186.167	8.865
8.758	0.528	58535.025	488.655	13.028	4401.213	5.108
8.767	0.529	59798.306	458.749	17.195	4532.468	10.515
8.776	0.530	56024.503	516.577	16.073	4167.022	6.447
8.785	0.531	57862.363	513.966	18.700	4299.810	8.972
8.794	0.532	55674.301	441.150	21.414	4222.275	4.495
8.804	0.533	61273.113	467.212	25.335	4711.023	5.821
8.813	0.534	58478.329	582.250	21.515	4340.065	7.546
8.822	0.535	54928.911	480.563	17.040	4320.097	7.979
8.831	0.536	56095.288	489.148	11.482	4197.451	4.836
8.840	0.537	60949.320	557.584	19.793	4500.081	10.331
8.849	0.538	59585.597	572.800	25.993	4325.173	6.652
8.858	0.539	59225.747	502.031	20.069	4362.016	7.553
8.867	0.540	58851.472	510.252	14.100	4292.302	7.426
8.876	0.541	56262.329	443.625	20.534	4240.251	7.647
8.885	0.542	55307.459	469.253	15.870	4174.574	3.617
8.894	0.543	60392.260	495.339	27.357	4635.704	5.924
8.903	0.544	61985.184	485.091	25.021	4617.316	7.625
8.912	0.545	58347.625	555.732	22.207	4291.959	7.679
8.921	0.546	60061.166	618.560	23.099	4471.431	8.045
8.931	0.547	61844.866	647.170	23.315	4540.190	8.555
8.940	0.548	60838.291	667.845	21.511	4494.283	6.295
8.949	0.549	62518.180	715.145	33.800	4576.337	8.048
8.958	0.550	61776.933	601.712	24.494	4532.347	6.997
8.967	0.551	63685.937	609.047	26.885	4552.594	7.146
8.976	0.552	66049.479	675.165	26.212	4806.471	7.368
8.985	0.553	60016.459	553.991	19.707	4417.959	6.030
8.994	0.554	57371.048	454.977	15.745	4398.024	4.577
9.003	0.555	58180.715	425.281	19.526	4423.738	7.378
9.012	0.556	58524.853	375.221	13.756	4552.637	5.760
9.021	0.557	58309.101	428.330	19.467	4448.427	11.721
9.030	0.558	57832.655	505.365	25.620	4205.029	7.840
9.039	0.559	59653.529	560.837	24.211	4322.817	8.093
9.048	0.560	63095.283	585.137	22.488	4632.451	12.960
9.058	0.561	62665.513	595.542	18.071	4640.058	12.794
9.067	0.562	62903.646	441.862	16.675	4797.599	5.604
9.076	0.563	60027.013	402.612	17.826	4658.394	8.763
9.085	0.564	63268.716	479.136	18.498	4906.019	9.399
9.094	0.565	65244.369	486.500	18.184	5042.288	8.230
9.103	0.566	61860.696	526.734	15.204	4502.115	7.451
9.112	0.567	64878.713	536.146	19.815	4919.422	7.513
9.121	0.568	61180.504	509.739	22.095	4713.053	6.653
9.130	0.569	62480.320	507.654	22.208	4741.710	13.650
9.139	0.570	65968.335	574.272	24.076	5021.433	11.736
9.148	0.571	65304.091	631.909	17.345	4810.904	6.843
9.157	0.572	66853.707	499.141	22.188	4830.965	8.072
9.166	0.573	61745.544	471.021	14.784	4702.904	6.724
9.175	0.574	63946.005	612.202	19.109	4672.834	11.053
9.185	0.575	64586.703	418.928	12.563	5022.489	7.806
9.194	0.576	64478.950	444.053	18.149	4995.277	11.165
9.203	0.577	64267.648	478.373	14.295	5089.370	12.634
9.212	0.578	65819.079	495.246	16.933	5109.660	7.037
9.221	0.579	67463.576	507.362	18.083	5199.735	5.257
9.230	0.580	64456.899	503.609	17.321	4964.607	12.929
9.239	0.581	63369.174	384.132	12.353	5031.438	4.666
9.248	0.582	64122.969	373.084	11.832	5011.876	10.072
9.257	0.583	61881.999	465.251	11.740	4861.534	7.021
9.266	0.584	62303.840	542.046	17.587	4769.996	8.068
9.275	0.585	63928.302	443.336	14.366	4774.335	12.711
9.284	0.586	62080.430	498.521	10.933	4840.060	11.150
9.293	0.587	64587.633	461.379	12.339	5077.699	8.955
9.302	0.588	66825.292	488.875	14.016	5162.651	9.278
9.312	0.589	67215.796	383.718	11.063	5255.327	9.947
9.321	0.590	66464.136	492.274	12.226	5220.055	12.200
9.330	0.591	65273.696	480.473	11.242	5068.950	8.940
9.339	0.592	65946.166	477.280	6.407	5016.943	4.581
9.348	0.593	65642.238	476.853	18.338	5149.256	4.409
9.357	0.594	65044.329	534.999	12.927	5177.804	13.133
9.366	0.595	65649.994	460.271	13.356	5216.686	7.788
9.375	0.596	66721.475	454.076	12.145	5185.539	9.678
9.384	0.597	65290.523	498.856	9.811	4874.624	10.436
9.393	0.598	67054.665	526.903	16.962	5009.854	11.517
9.402	0.599	66465.893	505.104	12.690	5088.440	10.664
9.411	0.600	67125.552	456.801	10.749	5021.610	11.989
9.420	0.601	66909.509	411.562	11.511	5072.697	11.380
9.429	0.602	69700.811	530.311	8.651	5231.535	8.638
9.439	0.603	64580.859	445.005	9.004	4872.461	6.226
9.448	0.604	65028.055	431.414	7.161	5017.846	10.432
9.457	0.605	62170.638	466.092	6.350	4916.657	6.926
9.466	0.606	57005.702	462.349	9.167	4694.734	5.815
9.475	0.607	54871.498	499.103	10.477	4293.866	7.930
9.484	0.608	55394.843	464.125	17.429	4343.021	14.852
9.493	0.609	58999.246	561.492	12.437	4617.751	7.979
9.502	0.610	63070.785	571.625	10.301	4983.900	6.419
9.511	0.611	61552.475	464.331	6.178	4979.049	6.770
9.520	0.612	64788.975	482.114	8.158	5189.554	5.825
9.529	0.613	65824.991	469.242	9.840	5038.424	11.571
9.538	0.614	64555.660	394.610	9.897	5104.032	12.548
9.547	0.615	66666.446	361.160	7.395	5155.480	8.594
9.556	0.616	66791.124	416.630	15.311	5066.498	6.756
9.566	0.617	66534.121	444.125	10.647	5012.858	7.990
9.575	0.618	66909.101	439.754	9.417	5291.885	12.384
9.584	0.619	63285.562	344.216	6.487	4938.783	13.794
9.593	0.620	63638.088	367.595	8.891	4882.845	7.231
9.602	0.621	65574.226	362.439	8.507	5160.558	8.156
9.611	0.622	65098.275	348.491	11.170	4986.449	7.410
9.620	0.623	67627.948	415.678	10.668	5128.304	11.052
9.629	0.624	70095.340	398.003	10.903	5040.947	15.569
9.638	0.625	64724.394	376.508	16.361	4784.500	9.933
9.647	0.626	66216.555	320.731	19.918	5017.508	11.696
9.656	0.627	68848.880	378.115	21.438	4800.623	12.279
9.665	0.628	66801.922	340.214	13.523	4707.971	4.151
9.674	0.629	70407.061	420.999	24.437	4757.670	8.426
9.684	0.630	69560.741	387.807	20.349	4863.275	15.274
9.693	0.631	72560.396	352.867	17.032	4951.380	5.273
9.702	0.632	74855.929	389.998	21.303	4900.600	5.247
9.711	0.633	74442.244	337.873	21.586	4937.620	8.010
9.720	0.634	73781.199	373.099	21.186	4864.735	8.227
9.729	0.635	72317.925	396.443	16.405	5041.109	8.385
9.738	0.636	72478.251	352.101	15.106	5117.743	5.507
9.747	0.637	72193.530	366.530	9.866	5088.457	6.540
9.756	0.638	70892.863	334.111	19.006	5164.413	7.849
9.765	0.639	68225.543	298.241	16.350	4924.795	3.516
9.774	0.640	68025.176	308.899	26.418	4958.073	6.833
9.783	0.641	67932.589	238.581	29.135	4848.892	7.078
9.792	0.642	64105.031	278.796	20.942	4624.064	5.396
9.801	0.643	67319.809	334.337	27.405	4782.895	4.808
9.811	0.644	66650.550	355.634	19.951	4724.247	2.686
9.820	0.645	65576.243	352.823	24.660	4886.056	4.134
9.829	0.646	66084.548	375.043	27.483	4581.084	4.808
9.838	0.647	67741.994	373.891	18.825	4996.937	3.745
9.847	0.648	69269.191	390.481	20.719	4918.313	7.500
9.856	0.649	69303.346	307.777	18.195	5041.650	3.589
9.865	0.650	69676.505	362.000	21.560	4920.299	3.217
9.874	0.651	68211.869	316.545	13.592	4746.680	3.479
9.883	0.652	69200.399	314.588	11.721	5048.184	4.864
9.892	0.653	68424.705	331.246	17.816	5006.582	5.853
9.901	0.654	69272.680	380.826	20.691	5260.388	3.575
9.910	0.655	67732.910	335.410	15.665	5243.900	4.048
9.919	0.656	67445.373	313.018	18.737	5209.362	4.562
9.928	0.657	67471.304	265.067	12.281	5277.980	5.235
9.938	0.658	69741.612	284.141	23.242	5266.215	6.037
9.947	0.659	70317.218	237.082	23.686	5582.475	6.615
9.956	0.660	68167.818	191.147	16.865	5534.642	5.188
9.965	0.661	71980.003	258.601	11.528	5638.626	4.652
9.974	0.662	80644.193	217.131	9.874	6878.487	4.300
9.983	0.663	89225.097	234.883	8.344	8092.693	4.476
9.992	0.664	88866.060	259.395	10.158	8408.354	9.119
10.001	0.665	87291.648	332.490	10.345	8046.338	8.313
10.010	0.666	86439.701	268.852	5.533	8181.964	9.933
10.019	0.667	90144.681	192.620	8.890	8797.251	7.314
10.028	0.668	89965.899	307.721	12.935	8307.335	6.370
10.037	0.669	87016.479	306.765	15.452	8069.327	6.345
10.046	0.670	79637.847	227.782	14.118	6801.098	5.230
10.055	0.671	76858.815	248.580	11.293	6165.676	3.187
10.065	0.672	72821.098	306.602	16.568	5907.889	5.530
10.074	0.673	70258.033	248.215	17.233	5758.463	2.579
10.083	0.674	70118.239	242.310	15.194	5712.297	1.889
10.092	0.675	68440.546	264.418	14.096	5655.368	4.143
10.101	0.676	69897.779	230.951	16.635	5574.058	5.903
10.110	0.677	67147.330	238.802	10.910	5471.989	3.138
10.119	0.678	68695.562	256.849	11.110	5171.488	4.185
10.128	0.679	69370.545	280.676	10.043	5380.104	4.039
10.137	0.680	71205.340	268.566	12.930	5661.433	5.636
10.146	0.681	71651.224	273.799	10.456	5615.162	4.815
10.155	0.682	69301.299	272.154	10.469	5309.809	4.624
10.164	0.683	68849.036	256.501	9.288	5327.062	3.657
10.173	0.684	67796.241	261.611	9.823	5274.526	2.842
10.182	0.685	67043.914	314.585	10.698	4978.890	4.039
10.192	0.686	69385.584	297.264	11.378	4959.117	2.547
10.201	0.687	69691.066	294.982	12.118	4884.572	2.394
10.210	0.688	68451.824	241.596	12.868	5175.330	2.232
10.219	0.689	69401.203	197.693	9.089	5228.009	3.455
10.228	0.690	68140.768	197.294	10.345	5177.917	4.691
10.237	0.691	69638.511	262.681	7.688	5088.048	3.717
10.246	0.692	69143.894	268.863	9.583	5104.805	1.772
10.255	0.693	68852.942	218.891	8.428	5478.649	1.079
10.264	0.694	68730.151	283.094	7.170	4969.490	2.872
10.273	0.695	67641.707	253.966	5.250	5060.695	0.437
10.282	0.696	69092.061	337.089	7.917	5168.188	3.451
10.291	0.697	67273.862	262.835	6.438	4949.301	2.101
10.300	0.698	67704.897	261.361	7.047	4933.918	3.782
10.309	0.699	67459.253	240.202	5.816	5165.691	2.459
10.319	0.700	68387.742	229.886	6.328	5085.440	1.536
10.328	0.701	69870.798	259.212	5.639	5120.871	4.268
10.337	0.702	68397.671	273.272	6.981	4946.743	1.266
10.346	0.703	69541.870	245.895	6.991	5036.747	3.166
10.355	0.704	68356.953	285.345	7.416	4972.254	2.738
10.364	0.705	67509.261	247.266	6.292	5127.797	3.264
10.373	0.706	67650.730	228.846	4.039	5130.000	2.707
10.382	0.707	68166.170	206.769	5.710	5404.519	2.967
10.391	0.708	66969.109	285.920	6.264	5320.379	4.209
10.400	0.709	67161.456	255.119	6.490	5304.026	6.073
10.409	0.710	66031.980	244.068	4.893	5384.718	2.426
10.418	0.711	66652.149	245.225	5.041	5224.465	3.460
10.427	0.712	65547.478	244.385	5.085	5040.964	2.942
10.436	0.713	64747.585	251.011	6.547	5067.949	3.481
10.446	0.714	66482.375	238.151	5.100	5182.390	2.723
10.455	0.715	66860.096	305.265	4.572	5130.098	4.707
10.464	0.716	65569.885	186.648	3.160	5230.717	1.992
10.473	0.717	64187.798	186.798	4.274	5260.250	2.845
10.482	0.718	65277.415	245.012	3.426	5263.683	3.643
10.491	0.719	64917.138	213.931	5.140	5300.186	2.758
10.500	0.720	62576.025	185.417	3.154	5154.397	0.803
10.524	0.721	64412.230	184.999	1.550	5232.625	1.918
10.548	0.722	64489.724	237.336	2.849	5153.737	2.370
10.572	0.723	63965.292	200.104	2.690	5097.791	2.178
10.596	0.724	62417.459	199.255	1.871	5157.885	2.904
10.620	0.725	64190.004	223.011	2.422	5452.288	1.994
10.644	0.726	62568.338	203.561	2.326	5441.205	2.014
10.668	0.727	63599.400	170.762	2.269	5391.908	2.442
10.692	0.728	62012.293	179.239	2.066	5187.676	1.532
10.716	0.729	64255.912	237.845	2.870	5390.924	3.125
10.741	0.730	64043.017	226.619	2.120	5209.866	2.071
10.765	0.731	64126.667	248.992	3.612	5353.434	5.469
10.789	0.732	65276.703	225.176	2.442	5326.899	2.249
10.813	0.733	65843.146	208.000	2.616	5476.684	2.574
10.837	0.734	65973.218	215.775	2.539	5195.053	3.434
10.861	0.735	65212.708	253.851	2.653	5219.078	2.905
10.885	0.736	65353.637	230.013	2.460	5258.280	3.500
10.909	0.737	65009.017	262.643	2.317	5388.225	2.522
10.933	0.738	66706.619	208.151	3.324	5491.846	1.719
10.957	0.739	65167.054	245.036	3.734	5313.943	2.858
10.981	0.740	62708.027	213.769	2.248	5336.139	2.016
11.005	0.741	63876.208	178.824	3.386	5402.766	2.691
11.029	0.742	63426.927	222.628	1.725	5265.912	3.061
11.053	0.743	63845.411	213.927	3.268	5157.492	3.062
11.077	0.744	63700.870	199.275	2.683	5481.531	1.378
11.101	0.745	63859.639	231.675	2.896	5284.687	1.433
11.125	0.746	64275.582	184.817	1.796	5345.368	1.753
11.149	0.747	64957.150	239.066	3.249	5346.040	1.331
11.173	0.748	65295.644	209.059	3.422	5474.806	1.746
11.197	0.749	65356.542	217.478	2.620	5323.031	4.049
11.222	0.750	66234.211	214.620	3.304	5399.341	4.195
11.246	0.751	66344.638	263.260	3.814	5412.691	4.979
11.270	0.752	64764.796	177.790	2.494	5441.266	1.637
11.294	0.753	66933.840	240.326	2.094	5433.278	2.479
11.318	0.754	65470.309	257.089	1.497	5261.206	1.459
11.342	0.755	65961.326	203.831	2.055	5385.852	2.834
11.366	0.756	65447.450	242.765	1.926	5285.458	1.910
11.390	0.757	64842.960	213.502	1.832	5256.964	3.449
11.414	0.758	66165.400	217.480	1.237	5383.184	1.638
11.438	0.759	66335.873	188.390	2.888	5384.892	2.083
11.462	0.760	66206.867	232.930	1.466	5336.356	2.242
11.486	0.761	66059.794	157.522	2.407	5362.621	2.250
11.510	0.762	66792.789	231.037	2.092	5428.959	2.487
