/* DATA DESCRIPTION:
Citation:	Hennekam, Rick; Jilbert, Tom; Schnetger, Bernhard; de Lange, Gert J (2014): Geochemistry (Ti/Al, Ba/Al, V/Al, organic Carbon) of sediment core PS009PC. PANGAEA, https://doi.org/10.1594/PANGAEA.875640, 
	In supplement to: Hennekam, R et al. (2014): Solar forcing of Nile discharge and sapropel S1 formation in the early to middle Holocene eastern Mediterranean. Paleoceanography, 29(5), 343-356, https://doi.org/10.1002/2013PA002553
Coverage:	LATITUDE: 32.128330 * LONGITUDE: 34.406670
	MINIMUM DEPTH, sediment/rock: 0.0025 m * MAXIMUM DEPTH, sediment/rock: 2.7745 m
Event(s):	PASSAP_PS009PC * LATITUDE: 32.128330 * LONGITUDE: 34.406670 * ELEVATION: -552.0 m * Recovery: 6.9 m * CAMPAIGN: PASSAP * BASIS: Pelagia (URI: https://www.nioz.nl/en/facilities/research-vessels/RV-pelagia) * METHOD/DEVICE: Piston corer (PC)
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	AGE [ka BP] (Age) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	Barium/Aluminium ratio (Ba/Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence spectrometer (Philips PW2400)
	Titanium/Aluminium ratio (Ti/Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence spectrometer (Philips PW2400)
	Vanadium/Aluminium ratio (V/Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence spectrometer (Philips PW2400)
	Carbon, organic, total [%] (TOC) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: Element analyser, Fisons NA 1500
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1851 data points
*/
Depth [m]	Age [ka BP]	Ba/Al	Ti/Al	V/Al	TOC [%]
0.4375	0.58	0.00229	0.099	0.00197	
0.4425	0.59	0.00210	0.099	0.00193	
0.4475	0.60	0.00218	0.100	0.00204	
0.4525	0.61	0.00229	0.100	0.00199	0.83
0.4575	0.62	0.00238	0.101	0.00210	
0.4625	0.63	0.00219	0.099	0.00189	
0.4675	0.64	0.00226	0.097	0.00184	
0.4725	0.65	0.00232	0.097	0.00185	
0.4775	0.66	0.00222	0.096	0.00198	0.78
0.4825	0.67	0.00230	0.097	0.00201	
0.4875	0.68	0.00238	0.096	0.00217	
0.4925	0.69	0.00214	0.097	0.00201	
0.4975	0.70	0.00234	0.098	0.00191	
0.5025	0.71	0.00226	0.097	0.00186	0.74
0.5075	0.73	0.00221	0.096	0.00187	
0.5125	0.74	0.00222	0.096	0.00189	
0.5175	0.75	0.00222	0.097	0.00194	
0.5225	0.76	0.00223	0.096	0.00198	
0.5275	0.77	0.00225	0.097	0.00198	0.77
0.5325	0.78	0.00222	0.097	0.00197	
0.5375	0.79	0.00233	0.096	0.00188	
0.5425	0.80	0.00226	0.095	0.00198	
0.5475	0.81	0.00210	0.095	0.00192	
0.5525	0.82	0.00232	0.095	0.00199	0.80
0.5575	0.83	0.00238	0.099	0.00202	
0.5625	0.84	0.00239	0.099	0.00193	
0.5675	0.86	0.00219	0.095	0.00191	
0.5725	0.87	0.00237	0.094	0.00184	
0.5775	0.88	0.00222	0.093	0.00179	0.66
0.5825	0.89	0.00220	0.094	0.00188	
0.5875	0.90	0.00241	0.094	0.00197	
0.5925	0.91	0.00233	0.094	0.00209	
0.5975	0.92	0.00232	0.095	0.00200	
0.6025	0.94	0.00227	0.097	0.00195	0.71
0.6075	0.95	0.00239	0.099	0.00198	
0.6125	0.96	0.00238	0.098	0.00198	
0.6175	0.97	0.00209	0.100	0.00186	
0.6225	0.98	0.00228	0.098	0.00187	
0.6275	0.99	0.00228	0.094	0.00188	0.83
0.6325	1.01	0.00235	0.093	0.00192	
0.6375	1.02	0.00244	0.094	0.00210	
0.6425	1.03	0.00247	0.095	0.00207	
0.6475	1.04	0.00241	0.098	0.00202	
0.6525	1.05	0.00248	0.097	0.00194	0.78
0.6575	1.07	0.00238	0.092	0.00189	
0.6625	1.08	0.00209	0.091	0.00185	
0.6675	1.09	0.00232	0.090	0.00195	
0.6725	1.10	0.00229	0.090	0.00198	
0.6775	1.12	0.00222	0.091	0.00200	0.76
0.6825	1.13	0.00227	0.090	0.00185	
0.6875	1.14	0.00219	0.090	0.00177	
0.6925	1.15	0.00227	0.090	0.00174	
0.6975	1.17	0.00252	0.090	0.00181	
0.7025	1.18	0.00235	0.090	0.00171	0.69
0.7075	1.19	0.00214	0.090	0.00173	
0.7125	1.21	0.00232	0.090	0.00188	
0.7175	1.22	0.00225	0.089	0.00189	
0.7225	1.23	0.00230	0.089	0.00202	
0.7275	1.25	0.00234	0.089	0.00193	0.71
0.7325	1.26	0.00208	0.090	0.00180	
0.7375	1.27	0.00220	0.089	0.00175	
0.7425	1.29	0.00226	0.088	0.00182	
0.7475	1.30	0.00225	0.088	0.00184	
0.7525	1.31	0.00221	0.088	0.00169	0.67
0.7580	1.33	0.00214	0.088	0.00172	
0.7635	1.34	0.00234	0.087	0.00187	
0.7685	1.36	0.00218	0.087	0.00184	
0.7735	1.37	0.00241	0.087	0.00177	
0.7785	1.38	0.00204	0.087	0.00174	0.68
0.7835	1.40	0.00229	0.087	0.00168	
0.7885	1.41	0.00219	0.087	0.00184	
0.7935	1.42	0.00234	0.087	0.00183	
0.7985	1.44	0.00217	0.086	0.00189	
0.8035	1.45	0.00225	0.087	0.00192	0.72
0.8085	1.47	0.00225	0.087	0.00181	
0.8135	1.48	0.00220	0.086	0.00183	
0.8185	1.50	0.00234	0.087	0.00172	
0.8235	1.51	0.00229	0.087	0.00160	
0.8285	1.52	0.00234	0.087	0.00166	0.65
0.8335	1.54	0.00219	0.087	0.00174	
0.8385	1.55	0.00216	0.087	0.00172	
0.8435	1.57	0.00210	0.087	0.00169	
0.8485	1.58	0.00211	0.088	0.00175	
0.8535	1.60	0.00231	0.087	0.00176	0.69
0.8585	1.61	0.00225	0.087	0.00180	
0.8635	1.63	0.00224	0.086	0.00177	
0.8685	1.64	0.00217	0.086	0.00169	
0.8735	1.66	0.00213	0.086	0.00177	
0.8785	1.67	0.00248	0.087	0.00187	0.71
0.8835	1.69	0.00228	0.087	0.00187	
0.8885	1.70	0.00216	0.087	0.00183	
0.8935	1.72	0.00236	0.086	0.00184	
0.8985	1.73	0.00227	0.086	0.00187	
0.9035	1.75	0.00228	0.085	0.00193	0.81
0.9085	1.76	0.00232	0.086	0.00194	
0.9135	1.78	0.00213	0.086	0.00174	
0.9185	1.79	0.00235	0.086	0.00167	
0.9235	1.81	0.00222	0.087	0.00168	
0.9285	1.82	0.00236	0.086	0.00175	0.71
0.9335	1.84	0.00240	0.086	0.00178	
0.9385	1.86	0.00230	0.087	0.00178	
0.9435	1.87	0.00235	0.088	0.00191	
0.9485	1.89	0.00222	0.087	0.00185	
0.9535	1.90	0.00231	0.086	0.00189	0.71
0.9585	1.92	0.00231	0.086	0.00197	
0.9635	1.94	0.00219	0.087	0.00212	
0.9685	1.95	0.00242	0.087	0.00190	
0.9785	1.98	0.00229	0.089	0.00190	0.60
0.9835	2.00	0.00223	0.089	0.00182	
0.9885	2.02	0.00225	0.087	0.00166	
0.9935	2.03	0.00220	0.087	0.00170	
0.9985	2.05	0.00224	0.087	0.00172	
1.0035	2.07	0.00219	0.087	0.00182	0.63
1.0085	2.08	0.00228	0.087	0.00171	
1.0135	2.10	0.00227	0.087	0.00173	
1.0185	2.12	0.00227	0.088	0.00167	
1.0235	2.13	0.00230	0.088	0.00163	
1.0285	2.15	0.00226	0.088	0.00170	0.63
1.0335	2.17	0.00250	0.088	0.00171	
1.0385	2.18	0.00222	0.088	0.00179	
1.0435	2.20	0.00227	0.088	0.00170	
1.0485	2.22	0.00214	0.089	0.00172	
1.0535	2.23	0.00227	0.089	0.00170	0.65
1.0585	2.25	0.00207	0.088	0.00174	
1.0635	2.27	0.00227	0.087	0.00172	
1.0685	2.29	0.00219	0.088	0.00171	
1.0735	2.30	0.00232	0.087	0.00168	
1.0785	2.32	0.00219	0.087	0.00175	0.61
1.0835	2.34	0.00219	0.086	0.00172	
1.0885	2.36	0.00214	0.087	0.00172	
1.0935	2.37	0.00224	0.086	0.00175	
1.0985	2.39	0.00214	0.086	0.00185	
1.1035	2.41	0.00207	0.087	0.00180	0.69
1.1085	2.43	0.00225	0.086	0.00186	
1.1135	2.44	0.00211	0.087	0.00182	
1.1185	2.46	0.00213	0.088	0.00176	
1.1235	2.48	0.00229	0.088	0.00174	
1.1285	2.50	0.00230	0.088	0.00183	0.85
1.1385	2.53	0.00227	0.088	0.00172	
1.1435	2.55	0.00246	0.089	0.00175	
1.1485	2.57	0.00224	0.088	0.00176	
1.1535	2.59	0.00217	0.088	0.00180	0.83
1.1585	2.61	0.00220	0.088	0.00165	
1.1635	2.63	0.00219	0.086	0.00169	
1.1685	2.65	0.00215	0.086	0.00172	
1.1735	2.66	0.00203	0.087	0.00171	
1.1785	2.68	0.00236	0.087	0.00164	0.82
1.1835	2.70	0.00228	0.086	0.00168	
1.1885	2.72	0.00231	0.087	0.00168	
1.1935	2.74	0.00215	0.086	0.00168	
1.1985	2.76	0.00225	0.086	0.00168	
1.2035	2.78	0.00224	0.087	0.00175	0.81
1.2085	2.80	0.00213	0.086	0.00162	
1.2135	2.81	0.00217	0.086	0.00160	
1.2185	2.83	0.00225	0.087	0.00170	
1.2235	2.85	0.00206	0.086	0.00163	
1.2285	2.87	0.00221	0.086	0.00162	0.80
1.2335	2.89	0.00226	0.087	0.00177	
1.2385	2.91	0.00229	0.086	0.00164	
1.2435	2.93	0.00222	0.088	0.00179	
1.2485	2.95	0.00233	0.088	0.00169	
1.2535	2.97	0.00220	0.085	0.00155	0.66
1.2585	2.99	0.00212	0.086	0.00171	
1.2635	3.01	0.00218	0.087	0.00169	
1.2685	3.03	0.00224	0.086	0.00168	
1.2735	3.05	0.00235	0.086	0.00184	
1.2785	3.07	0.00221	0.087	0.00174	0.81
1.2835	3.09	0.00215	0.087	0.00171	
1.2885	3.11	0.00218	0.087	0.00167	
1.2935	3.13	0.00222	0.086	0.00172	
1.2985	3.15	0.00215	0.087	0.00173	
1.3035	3.17	0.00210	0.088	0.00172	0.79
1.3085	3.19	0.00210	0.087	0.00174	
1.3135	3.21	0.00231	0.087	0.00167	
1.3185	3.23	0.00208	0.087	0.00184	
1.3235	3.25	0.00225	0.087	0.00169	
1.3285	3.27	0.00213	0.087	0.00173	0.86
1.3335	3.29	0.00217	0.087	0.00169	
1.3385	3.31	0.00227	0.088	0.00175	
1.3435	3.33	0.00224	0.088	0.00170	
1.3485	3.35	0.00222	0.086	0.00171	
1.3535	3.37	0.00226	0.086	0.00172	0.79
1.3585	3.39	0.00209	0.086	0.00183	
1.3635	3.42	0.00217	0.085	0.00169	
1.3685	3.44	0.00236	0.087	0.00162	
1.3735	3.46	0.00212	0.086	0.00163	
1.3785	3.48	0.00216	0.086	0.00165	0.72
1.3885	3.52	0.00236	0.086	0.00175	
1.3935	3.54	0.00231	0.086	0.00173	
1.3985	3.56	0.00209	0.085	0.00169	
1.4035	3.58	0.00213	0.087	0.00167	0.66
1.4085	3.61	0.00200	0.087	0.00153	
1.4135	3.63	0.00210	0.087	0.00155	
1.4185	3.65	0.00215	0.087	0.00161	
1.4235	3.67	0.00202	0.086	0.00155	
1.4285	3.69	0.00202	0.085	0.00173	0.68
1.4335	3.71	0.00196	0.086	0.00152	
1.4385	3.74	0.00195	0.086	0.00163	
1.4435	3.76	0.00224	0.087	0.00169	
1.4485	3.78	0.00193	0.086	0.00158	
1.4535	3.80	0.00226	0.085	0.00159	0.65
1.4585	3.82	0.00207	0.087	0.00174	
1.4635	3.85	0.00204	0.085	0.00158	
1.4685	3.87	0.00197	0.085	0.00152	
1.4735	3.89	0.00203	0.087	0.00168	
1.4785	3.91	0.00220	0.086	0.00156	0.68
1.4835	3.94	0.00199	0.085	0.00159	
1.4885	3.96	0.00220	0.087	0.00167	
1.4935	3.98	0.00203	0.086	0.00159	
1.4985	4.00	0.00212	0.085	0.00153	
1.5035	4.03	0.00201	0.086	0.00171	0.68
1.5085	4.05	0.00208	0.084	0.00167	
1.5135	4.07	0.00213	0.084	0.00167	
1.5185	4.09	0.00198	0.084	0.00167	
1.5235	4.12	0.00187	0.086	0.00155	
1.5285	4.14	0.00208	0.085	0.00169	0.77
1.5335	4.16	0.00209	0.085	0.00174	
1.5385	4.19	0.00213	0.086	0.00163	
1.5435	4.21	0.00213	0.085	0.00168	
1.5485	4.23	0.00186	0.085	0.00177	
1.5535	4.26	0.00199	0.085	0.00163	0.74
1.5585	4.28	0.00197	0.085	0.00150	
1.5635	4.30	0.00216	0.084	0.00162	
1.5685	4.33	0.00197	0.085	0.00164	
1.5735	4.35	0.00210	0.086	0.00164	
1.5785	4.37	0.00218	0.086	0.00171	0.75
1.5835	4.40	0.00206	0.086	0.00165	
1.5885	4.42	0.00201	0.086	0.00160	
1.5935	4.44	0.00203	0.085	0.00171	
1.5985	4.47	0.00184	0.086	0.00159	
1.6035	4.49				0.71
1.6085	4.51	0.00206	0.085	0.00169	
1.6135	4.54	0.00199	0.085	0.00163	
1.6185	4.56	0.00198	0.085	0.00156	
1.6235	4.59	0.00202	0.084	0.00170	
1.6285	4.61	0.00207	0.084	0.00155	0.70
1.6335	4.64	0.00208	0.084	0.00164	
1.6385	4.66	0.00197	0.084	0.00158	
1.6435	4.68	0.00198	0.084	0.00160	
1.6485	4.71	0.00202	0.084	0.00156	
1.6535	4.73	0.00189	0.083	0.00165	0.78
1.6585	4.76	0.00199	0.083	0.00155	
1.6635	4.78	0.00204	0.083	0.00161	
1.6685	4.81	0.00205	0.082	0.00158	
1.6735	4.83	0.00204	0.083	0.00157	
1.6785	4.86	0.00209	0.083	0.00153	0.79
1.6835	4.88	0.00203	0.083	0.00165	
1.6885	4.91	0.00211	0.083	0.00159	
1.6935	4.93	0.00212	0.083	0.00156	
1.6985	4.96	0.00196	0.083	0.00152	
1.7035	4.98	0.00203	0.082	0.00159	0.80
1.7085	5.01	0.00205	0.082	0.00142	
1.7135	5.03	0.00201	0.083	0.00156	
1.7185	5.06	0.00209	0.082	0.00154	
1.7235	5.08	0.00214	0.082	0.00152	
1.7285	5.11	0.00215	0.082	0.00165	0.79
1.7335	5.13	0.00204	0.082	0.00145	
1.7385	5.16	0.00200	0.081	0.00152	
1.7435	5.18	0.00204	0.082	0.00159	
1.7485	5.21	0.00237	0.081	0.00159	
1.7535	5.23	0.00202	0.080	0.00145	0.86
1.7595	5.27	0.00229	0.081	0.00147	
1.7645	5.29	0.00215	0.081	0.00159	
1.7695	5.32	0.00201	0.081	0.00152	
1.7745	5.34				0.84
1.7845	5.40	0.00209	0.081	0.00155	
1.7995	5.47	0.00211	0.081	0.00164	0.92
1.8145	5.55	0.00215	0.081	0.00153	
1.8245	5.61				0.88
1.8295	5.63	0.00199	0.082	0.00151	
1.8345	5.66	0.00214	0.081	0.00151	
1.8395	5.69	0.00213	0.080	0.00150	
1.8445	5.71	0.00201	0.081	0.00155	
1.8495	5.74	0.00214	0.081	0.00165	0.86
1.8545	5.77	0.00207	0.082	0.00159	0.95
1.8595	5.79	0.00223	0.081	0.00157	0.93
1.8645	5.82	0.00208	0.080	0.00153	0.83
1.8695	5.85	0.00207	0.080	0.00155	0.88
1.8745	5.87	0.00227	0.080	0.00151	0.86
1.8795	5.90	0.00200	0.080	0.00160	0.84
1.8845	5.93	0.00224	0.080	0.00164	0.84
1.8895	5.96	0.00227	0.080	0.00162	0.85
1.8945	5.98	0.00218	0.079	0.00156	0.82
1.8995	6.01	0.00247	0.079	0.00159	0.83
1.9045	6.04	0.00230	0.079	0.00158	0.81
1.9095	6.07	0.00207	0.079	0.00156	0.81
1.9145	6.10	0.00212	0.078	0.00155	0.80
1.9195	6.14	0.00214	0.079	0.00162	0.84
1.9245	6.18	0.00228	0.078	0.00155	0.78
1.9295	6.22	0.00231	0.079	0.00158	0.79
1.9345	6.26	0.00237	0.079	0.00160	0.81
1.9395	6.30	0.00232	0.078	0.00162	0.81
1.9445	6.34	0.00244	0.078	0.00154	0.81
1.9495	6.38	0.00271	0.077	0.00161	0.81
1.9545	6.42	0.00277	0.077	0.00163	0.82
1.9595	6.46	0.00287	0.077	0.00160	0.82
1.9645	6.50	0.00272	0.077	0.00160	0.82
1.9695	6.54	0.00291	0.077	0.00169	0.84
1.9745	6.58	0.00298	0.077	0.00169	0.85
1.9795	6.62	0.00391	0.075	0.00182	1.05
1.9845	6.66	0.00409	0.075	0.00194	1.09
1.9895	6.70	0.00435	0.076	0.00184	1.10
1.9945	6.74	0.00384	0.076	0.00181	1.07
1.9995	6.78	0.00412	0.076	0.00182	1.07
2.0045	6.82	0.00418	0.076	0.00178	1.13
2.0095	6.86	0.00394	0.075	0.00169	1.06
2.0145	6.90	0.00362	0.075	0.00170	0.98
2.0195	6.94	0.00380	0.075	0.00165	1.06
2.0245	6.98	0.00403	0.074	0.00169	1.21
2.0295	7.02	0.00425	0.074	0.00173	1.31
2.0345	7.06	0.00465	0.074	0.00187	1.30
2.0395	7.10	0.00454	0.074	0.00190	1.38
2.0445	7.14	0.00487	0.075	0.00192	1.38
2.0495	7.18	0.00441	0.074	0.00197	1.37
2.0545	7.22	0.00475	0.074	0.00196	1.41
2.0595	7.26	0.00481	0.075	0.00202	1.47
2.0645	7.30	0.00528	0.074	0.00217	1.50
2.0695	7.34	0.00538	0.075	0.00215	1.47
2.0745	7.38	0.00555	0.075	0.00222	1.46
2.0795	7.42	0.00569	0.075	0.00236	1.58
2.0845	7.46	0.00636	0.076	0.00264	1.69
2.0895	7.50	0.00617	0.075	0.00296	1.65
2.0945	7.54	0.00643	0.075	0.00307	1.63
2.0995	7.58	0.00601	0.076	0.00324	1.65
2.1045	7.62	0.00600	0.076	0.00311	1.58
2.1095	7.66	0.00569	0.076	0.00305	1.47
2.1145	7.70	0.00568	0.076	0.00373	1.67
2.1195	7.74	0.00590	0.076	0.00419	1.59
2.1245	7.78	0.00538	0.076	0.00282	1.75
2.1295	7.82	0.00488	0.076	0.00189	1.49
2.1345	7.86	0.00472	0.076	0.00173	1.23
2.1395	7.90	0.00471	0.076	0.00169	1.07
2.1445	7.94	0.00446	0.075	0.00161	0.92
2.1495	7.98	0.00457	0.075	0.00161	0.92
2.1545	8.02	0.00459	0.075	0.00163	0.89
2.1595	8.06	0.00432	0.076	0.00173	0.89
2.1645	8.09	0.00408	0.076	0.00180	0.91
2.1695	8.13	0.00435	0.076	0.00188	1.01
2.1745	8.17	0.00493	0.076	0.00201	1.26
2.1795	8.21	0.00512	0.076	0.00228	1.30
2.1845	8.25	0.00552	0.076	0.00235	1.43
2.1895	8.29	0.00533	0.076	0.00245	1.40
2.1945	8.33	0.00535	0.076	0.00251	1.42
2.1995	8.37	0.00543	0.076	0.00256	1.42
2.2045	8.41	0.00543	0.076	0.00267	1.44
2.2095	8.45	0.00546	0.075	0.00260	1.42
2.2145	8.49	0.00586	0.075	0.00279	1.50
2.2195	8.53	0.00564	0.074	0.00295	1.49
2.2245	8.57	0.00568	0.074	0.00277	1.49
2.2295	8.61	0.00580	0.074	0.00298	1.47
2.2345	8.65	0.00570	0.074	0.00288	1.54
2.2395	8.69	0.00567	0.074	0.00289	1.49
2.2445	8.73	0.00598	0.074	0.00276	1.52
2.2495	8.77	0.00579	0.074	0.00290	1.46
2.2545	8.81	0.00546	0.074	0.00284	1.55
2.2595	8.85	0.00577	0.074	0.00268	1.47
2.2645	8.89	0.00584	0.073	0.00275	1.52
2.2695	8.93				1.40
2.2745	8.97	0.00579	0.076	0.00280	1.50
2.2795	9.01	0.00576	0.077	0.00293	1.50
2.2845	9.05	0.00596	0.075	0.00316	1.72
2.2895	9.09	0.00607	0.076	0.00334	1.70
2.2945	9.13	0.00607	0.077	0.00316	1.62
2.2995	9.17	0.00670	0.076	0.00292	1.59
2.3045	9.21	0.00664	0.077	0.00276	1.63
2.3095	9.25	0.00637	0.076	0.00278	1.61
2.3145	9.29	0.00607	0.077	0.00277	1.57
2.3195	9.33	0.00612	0.075	0.00284	1.41
2.3245	9.37	0.00531	0.075	0.00267	1.46
2.3295	9.41	0.00550	0.076	0.00285	1.49
2.3345	9.45	0.00562	0.074	0.00294	1.51
2.3395	9.49	0.00581	0.074	0.00317	1.50
2.3445	9.53	0.00572	0.074	0.00336	1.63
2.3495	9.57	0.00557	0.076	0.00339	1.47
2.3545	9.61	0.00586	0.076	0.00357	1.41
2.3595	9.65	0.00610	0.079	0.00387	1.56
2.3645	9.69	0.00586	0.079	0.00412	1.49
2.3695	9.73	0.00570	0.078	0.00346	1.36
2.3745	9.77	0.00576	0.078	0.00317	1.28
2.3795	9.81	0.00583	0.079	0.00290	1.28
2.3845	9.85	0.00578	0.077	0.00249	1.33
2.3895	9.89	0.00531	0.078	0.00209	1.33
2.3945	9.93	0.00482	0.080	0.00204	1.29
